测试集真实值,测试集预测值
249,100.0928497
236,161.9686279
215,162.3565674
173,157.7990723
131,143.3667145
102,126.9226837
155,113.504303
206,130.5589905
148,151.1590118
71,132.8481903
88,102.6139679
55,102.1065521
77,87.77658844
77,91.82263947
115,90.79837799
57,103.8425293
58,82.67691803
61,77.50837708
108,76.03436279
103,93.04310608
69,93.60998535
110,80.63044739
72,93.7694931
72,81.5737381
163,79.27474976
95,114.4703217
84,94.93028259
105,88.46279907
87,95.43862152
62,90.13926697
51,79.76394653
55,72.97958374
32,72.36766815
58,62.29610062
79,69.1272583
75,77.88871765
48,77.43460083
52,66.32738495
99,64.76422882
77,82.55136871
92,77.49377441
64,82.72455597
68,73.26692963
49,73.13030243
58,65.77537537
42,67.59906769
155,61.49947357
82,105.1086502
129,84.97296906
84,100.6953659
74,86.93926239
36,81.30973816
88,65.5716629
444,82.33495331
364,222.7859192
104,197.8652496
121,123.2520599
116,118.1988373
100,114.9402008
102,109.1338654
108,108.952652
101,110.67099
91,107.5046844
110,102.1133118
100,107.1330338
114,102.9228973
98,106.5523224
49,100.15802
57,79.52544403
72,76.9960022
64,80.99557495
84,77.57730865
134,83.7689209
52,103.9132614
93,76.15732574
72,86.33073425
58,79.90548706
68,73.10780334
80,75.2302475
62,80.08105469
61,73.89149475
72,71.93790436
70,75.48016357
57,75.17842865
59,69.7848053
55,69.03952026
56,66.93746948
71,66.47953033
67,71.9569931
72,71.38108826
68,73.19043732
92,72.0408783
70,81.38173676
70,75.04402924
59,74.10024261
59,69.76815796
59,68.86764526
55,68.58856201
69,66.80435944
66,71.71903229
82,71.43976593
58,77.63503265
73,69.6023407
44,73.76316071
46,63.2614212
59,61.41928101
65,65.77384186
58,68.84159851
42,66.60279846
43,59.62038803
40,58.02049255
64,56.00111389
55,64.65078735
49,62.78930664
54,59.88506699
45,61.04378891
40,57.63953781
27,54.70261383
52,48.5554924
49,56.64328003
22,57.09839249
39,46.31528091
50,49.98913574
113,54.97320557
60,81.39079285
56,66.65065002
64,62.74895477
62,65.4777832
51,65.82701874
45,62.05647278
53,59.08587265
34,61.61152267
37,54.61616135
23,53.80851364
41,47.54168701
28,52.49638367
42,47.8466301
34,51.60978699
41,48.76826859
110,50.38234329
46,78.36972046
75,59.58563232
51,67.51242828
40,60.4404335
54,55.0369339
39,59.59612656
46,54.94609451
39,56.6715126
53,54.22838593
51,59.04459763
63,59.23246384
73,63.98925781
76,69.11676788
78,71.75608826
66,73.62442017
44,69.93652344
76,60.99528122
87,71.81570435
64,78.79496002
40,71.8351593
40,61.28721237
35,58.66703415
28,55.66709137
26,51.54172516
42,48.89292908
16,53.71279144
37,43.6329155
41,48.5111084
19,50.53728867
31,41.62422943
34,43.47615814
20,44.66068649
42,38.95799255
34,45.98376083
15,44.42195511
68,36.37434769
49,55.62345123
38,52.92498016
21,48.46855927
52,40.96596146
28,51.66778564
45,44.97138596
36,50.23655701
54,48.09760284
31,54.90542603
19,47.60115814
15,41.02838135
15,37.45529556
49,36.03267288
50,48.89464188
50,52.19750977
43,53.05342484
26,50.70602417
14,43.60082626
30,37.00963593
26,41.51562881
25,40.8789978
42,40.05363083
29,46.45796967
22,42.77281189
40,38.92575836
40,45.03256607
38,46.57588196
45,46.27532578
39,49.20131302
32,47.82132721
26,44.94994736
54,41.9826889
94,52.5696373
42,71.50266266
55,56.00685883
30,58.27406311
28,49.42007065
18,46.6250267
35,41.82637787
32,47.06113815
40,46.77679062
57,49.50402451
39,56.71079254
37,51.19522095
48,49.02651215
66,52.84680557
50,61.07812119
46,57.01314926
87,54.89917374
70,71.1641922
35,68.68804932
48,55.314991
34,57.57644653
64,52.71286011
56,63.4985199
35,62.82554626
34,54.45933533
37,51.813797
72,51.96772003
30,65.66480255
39,52.03629303
46,52.08029556
83,54.58596039
77,69.83986664
43,71.0708313
44,58.6730957
52,56.44424057
72,59.22009277
31,67.99417877
42,54.10039139
64,55.10426331
42,63.99669647
48,57.28527069
65,57.9996376
32,64.81087494
97,53.32257462
82,76.51448822
95,75.75062561
80,81.56278229
70,77.7350769
62,73.90678406
56,70.54642487
69,67.80838776
84,72.47583771
105,79.50325012
83,89.45625305
77,83.39736176
50,80.38941193
78,69.43477631
45,77.91442108
76,66.63136292
76,76.0614624
80,77.74131775
68,79.58414459
67,75.23800659
42,73.85085297
68,63.56819153
23,71.11423492
48,54.69669724
59,60.01011276
44,64.96578217
15,59.63420486
17,46.34334183
17,42.83464432
38,40.89190292
60,47.79640579
64,57.55374908
40,61.10185242
76,52.52602768
35,65.00596619
56,52.10604858
61,57.73656464
61,61.46312332
75,62.85872269
62,69.31621552
50,66.29748535
54,61.51666641
76,62.3229332
73,71.48170471
96,72.6367569
82,82.45209503
72,79.60941315
59,75.85245514
36,70.38555908
42,60.27173615
141,59.95757294
152,99.23804474
122,110.6035995
160,102.891243
148,117.5214462
95,116.6029434
52,98.56723785
63,79.81236267
31,79.98213959
87,67.08634949
207,85.486763
118,135.3991394
224,109.1010361
118,146.7702637
152,113.1774216
152,122.6481018
212,124.2685547
149,147.9161682
55,129.0227203
88,93.5149765
69,98.43585205
69,91.1098175
78,88.73966217
84,90.38827515
55,91.6299057
60,79.29640198
42,77.16972351
59,68.07572174
97,71.21829987
40,85.66924286
83,65.63658142
57,77.48231506
22,69.25437164
318,53.39216232
331,168.5786438
129,181.879837
212,121.6904221
136,146.3290405
58,122.736763
116,93.10453033
85,109.5523529
64,100.4383774
