测试集真实值,测试集预测值
17.000000000000004,14.299216270446777
6.0,15.717060089111328
4.0,8.813377380371094
11.0,5.458269119262695
10.0,8.98709774017334
12.000000000000002,10.053601264953613
12.000000000000002,11.626874923706055
12.000000000000002,12.075878143310547
7.000000000000001,12.107017517089844
5.000000000000001,8.880622863769531
9.0,6.581022262573242
6.0,8.404699325561523
5.000000000000001,7.390559196472168
6.0,6.349115371704102
7.000000000000001,6.568263053894043
8.0,7.2831501960754395
12.000000000000002,8.134390830993652
12.000000000000002,10.863211631774902
16.0,11.765989303588867
14.000000000000002,14.424003601074219
14.000000000000002,13.9550142288208
10.0,13.67654037475586
6.0,11.083130836486816
11.0,7.822027206420898
11.0,10.05844783782959
10.0,11.109345436096191
11.0,10.786529541015625
15.000000000000004,11.205077171325684
19.0,13.859461784362793
17.000000000000004,17.25125503540039
17.000000000000004,16.920251846313477
22.0,16.617855072021484
22.0,19.7340145111084
22.999999999999996,20.792837142944336
27.0,21.656694412231445
27.0,24.30792808532715
27.0,25.119651794433594
29.0,25.378894805908203
28.000000000000004,26.72379493713379
22.999999999999996,26.7454833984375
14.000000000000002,24.11342430114746
20.000000000000004,18.06488800048828
27.0,20.573190689086914
20.000000000000004,25.545007705688477
10.0,22.667972564697266
8.0,14.966714859008789
13.0,11.64953899383545
15.000000000000004,14.006789207458496
15.000000000000004,16.08386993408203
18.0,16.43674087524414
20.000000000000004,18.043304443359375
14.000000000000002,19.534631729125977
15.000000000000004,15.922249794006348
16.0,15.373551368713379
16.0,16.032358169555664
22.0,16.308761596679688
22.999999999999996,20.10328483581543
22.999999999999996,21.80820655822754
22.0,22.080577850341797
21.0,21.503475189208984
